status code;4;22/2/22;13:5:23;0;0;4789;;;;
status code;4;22/2/22;13:5:24;0;0;4591;;;;
start failure;1;22/2/22;13:5:38;0;0;20C0;ccu;Bouteilles AI vides;;Exclure du tableau synoptique le sectionneur 1QAT de la motrice qui n'est pas concernee par l'incendie. Pages 415-418-420-432
start failure;1;22/2/22;13:5:38;0;0;20F6;ccu;Disjoncteur 3F19 ou 3F20 declenche;;Retablir l'interrupteur
start failure;1;22/2/22;13:5:38;0;0;20FB;ccu;Verrouillage portes debranche;;
start failure;4;22/2/22;13:5:39;0;0;20FB;ccu;Verrouillage portes debranche;;
start failure;1;22/2/22;13:5:41;0;0;A007;ugc;0016   Defaut dialogue avec le dispositif antipatinage;;Verifier la fonctionnalite des toutes les portes du vehicule. Si les portes ne fonctionnent pas il faut les isoler
start failure;1;22/2/22;13:5:41;0;0;A00C;ugc;4201   Porte de montee 2 en etat d'urgence;;Verifier l'etat de la porte localement et effectuer le rearmement
end of failure;1;22/2/22;13:5:42;0;0;A007;ugc;0016   Defaut dialogue avec le dispositif antipatinage;;Verifier la fonctionnalite des toutes les portes du vehicule. Si les portes ne fonctionnent pas il faut les isoler
start failure;1;22/2/22;13:5:47;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
end of failure;1;22/2/22;13:5:50;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
start failure;1;22/2/22;13:5:55;0;3361;A01E;ugc;6725   Toilette hors service (Acces inhibe;;
start failure;4;22/2/22;13:6:6;0;0;4421;;;;
start failure;1;22/2/22;13:6:12;0;0;20B8;ccu;Interrupteur unipolaire circuit commande contacteur insertion batterie ouvert;;Si on est au debut de la marche, refermer l'interrupteur 3F03; en cas de marche, effectuer la fermeture de nouveau a la fin de la marche
status code;4;22/2/22;14:23:40;0;0;4789;;;;
status code;4;22/2/22;14:23:41;0;0;4591;;;;
status code;4;22/2/22;15:2:45;0;0;4789;;;;
status code;4;22/2/22;15:2:47;0;0;4591;;;;
start failure;1;22/2/22;15:10:21;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
end of failure;1;22/2/22;15:10:23;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
start failure;1;22/2/22;15:10:54;0;3339;A015;ugc;4704   Frein de stationnement bogie 1 isole;;Verifier l'etat du frein de stationnement ; s'il est necessaire, il faut le rearmer
end of failure;1;22/2/22;15:11:11;0;3348;A015;ugc;4704   Frein de stationnement bogie 1 isole;;Verifier l'etat du frein de stationnement ; s'il est necessaire, il faut le rearmer
start failure;1;22/2/22;15:11:27;0;3361;A015;ugc;4704   Frein de stationnement bogie 1 isole;;Verifier l'etat du frein de stationnement ; s'il est necessaire, il faut le rearmer
end of failure;1;22/2/22;15:11:43;0;3307;A015;ugc;4704   Frein de stationnement bogie 1 isole;;Verifier l'etat du frein de stationnement ; s'il est necessaire, il faut le rearmer
start failure;1;22/2/22;15:29:47;0;3406;A01B;ugc;6709   Activation signal de SOS de la zone voyageurs handicapes;;Verifier la situation tout de suite selon les reglementations en viguer
start failure;1;22/2/22;15:34:24;0;3393;2004;ccu;Ouverture interrupteur extra-rapide;;Fermer l'interrupteur extra-rapide. En cas de resultat negatif, exclure l'Actionnement et le Groupe Statique progressivement et refermer l'interrupteur extra rapide. Page 418 et 420
end of failure;1;22/2/22;15:34:24;0;3393;2004;ccu;Ouverture interrupteur extra-rapide;;Fermer l'interrupteur extra-rapide. En cas de resultat negatif, exclure l'Actionnement et le Groupe Statique progressivement et refermer l'interrupteur extra rapide. Page 418 et 420
start failure;1;22/2/22;15:46:42;0;0;2044;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
end of failure;1;22/2/22;15:46:44;0;0;2044;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
start failure;4;22/2/22;15:47:58;0;3348;2004;ccu;Ouverture interrupteur extra-rapide;;Fermer l'interrupteur extra-rapide. En cas de resultat negatif, exclure l'Actionnement et le Groupe Statique progressivement et refermer l'interrupteur extra rapide. Page 418 et 420
end of failure;4;22/2/22;15:47:59;0;3348;2004;ccu;Ouverture interrupteur extra-rapide;;Fermer l'interrupteur extra-rapide. En cas de resultat negatif, exclure l'Actionnement et le Groupe Statique progressivement et refermer l'interrupteur extra rapide. Page 418 et 420
start failure;1;22/2/22;15:48:2;0;3321;20B8;ccu;Interrupteur unipolaire circuit commande contacteur insertion batterie ouvert;;Si on est au debut de la marche, refermer l'interrupteur 3F03; en cas de marche, effectuer la fermeture de nouveau a la fin de la marche
end of failure;1;22/2/22;15:48:2;0;0;20B8;ccu;Interrupteur unipolaire circuit commande contacteur insertion batterie ouvert;;Si on est au debut de la marche, refermer l'interrupteur 3F03; en cas de marche, effectuer la fermeture de nouveau a la fin de la marche
status code;4;22/2/22;15:49:53;0;0;4789;;;;
status code;4;22/2/22;15:49:54;0;0;4591;;;;
start failure;1;22/2/22;15:50:24;0;0;A01E;ugc;6725   Toilette hors service (Acces inhibe;;
start failure;5;22/2/22;15:50:36;0;3375;4421;;;;
start failure;1;22/2/22;15:50:36;0;3375;4421;;;;
start failure;1;22/2/22;15:52:19;0;3312;201B;ccu;Ouverture interrupteur extra-rapide a cause de l'abaissement du pantographe(s);;Lever le pantographe/s
start failure;5;22/2/22;15:52:19;0;3312;201B;ccu;Ouverture interrupteur extra-rapide a cause de l'abaissement du pantographe(s);;Lever le pantographe/s
end of failure;1;22/2/22;15:52:19;0;3312;201B;ccu;Ouverture interrupteur extra-rapide a cause de l'abaissement du pantographe(s);;Lever le pantographe/s
end of failure;5;22/2/22;15:52:20;0;3339;201B;ccu;Ouverture interrupteur extra-rapide a cause de l'abaissement du pantographe(s);;Lever le pantographe/s
status code;4;22/2/22;16:57:45;0;0;4789;;;;
status code;4;22/2/22;16:57:46;0;0;4591;;;;
status code;4;22/2/22;19:18:6;0;0;4789;;;;
status code;4;22/2/22;19:18:7;0;0;4591;;;;
status code;4;22/2/22;22:51:8;0;0;4789;;;;
status code;4;22/2/22;22:51:9;0;0;4591;;;;
status code;4;22/2/22;23:32:45;0;0;4789;;;;
status code;4;22/2/22;23:32:46;0;0;4591;;;;
status code;4;22/2/23;1:0:35;0;0;4789;;;;
status code;4;22/2/23;1:0:36;0;0;4591;;;;
status code;4;22/2/23;8:23:17;0;0;4789;;;;
status code;4;22/2/23;8:23:18;0;0;4591;;;;
start failure;1;22/2/23;8:23:31;0;0;20F6;ccu;Disjoncteur 3F19 ou 3F20 declenche;;Retablir l'interrupteur
start failure;1;22/2/23;8:23:32;0;0;20FB;ccu;Verrouillage portes debranche;;
start failure;4;22/2/23;8:23:33;0;0;20FB;ccu;Verrouillage portes debranche;;
start failure;1;22/2/23;8:23:34;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
end of failure;1;22/2/23;8:23:38;0;0;2043;ccu;L'interrupteur extra-rapide ne se ferme pas;;Changer le pantographe et refermer l'interrupteur extra-rapide. Page 432
start failure;1;22/2/23;8:23:48;0;3339;A01E;ugc;6725   Toilette hors service (Acces inhibe;;
start failure;1;22/2/23;8:23:53;0;3312;A00C;ugc;4201   Porte de montee 2 en etat d'urgence;;Verifier l'etat de la porte localement et effectuer le rearmement
start failure;4;22/2/23;8:24:0;0;3307;4421;;;;
end of failure;1;22/2/23;8:24:13;0;3307;A00C;ugc;4201   Porte de montee 2 en etat d'urgence;;Verifier l'etat de la porte localement et effectuer le rearmement
start failure;1;22/2/23;8:24:38;0;3348;A00C;ugc;4201   Porte de montee 2 en etat d'urgence;;Verifier l'etat de la porte localement et effectuer le rearmement
start failure;1;22/2/23;8:24:45;0;0;20B8;ccu;Interrupteur unipolaire circuit commande contacteur insertion batterie ouvert;;Si on est au debut de la marche, refermer l'interrupteur 3F03; en cas de marche, effectuer la fermeture de nouveau a la fin de la marche
status code;4;22/2/23;8:41:21;0;0;4789;;;;
status code;4;22/2/23;8:41:22;0;0;4591;;;;
